id_origin,id_destino,times
101 Manhattan,102 Manhattan,25
101 Manhattan,103 Manhattan,25
101 Manhattan,104 Manhattan,29
101 Manhattan,105 Manhattan,36
101 Manhattan,106 Manhattan,24
101 Manhattan,107 Manhattan,31
101 Manhattan,108 Manhattan,27
101 Manhattan,109 Manhattan,43
101 Manhattan,110 Manhattan,20
101 Manhattan,111 Manhattan,31
101 Manhattan,112 Manhattan,34
101 Manhattan,164 Manhattan,28
102 Manhattan,101 Manhattan,41
102 Manhattan,103 Manhattan,30
102 Manhattan,104 Manhattan,21
102 Manhattan,105 Manhattan,29
102 Manhattan,106 Manhattan,39
102 Manhattan,107 Manhattan,40
102 Manhattan,108 Manhattan,38
102 Manhattan,109 Manhattan,35
102 Manhattan,110 Manhattan,42
102 Manhattan,111 Manhattan,20
102 Manhattan,112 Manhattan,26
102 Manhattan,164 Manhattan,36
103 Manhattan,101 Manhattan,29
103 Manhattan,102 Manhattan,38
103 Manhattan,104 Manhattan,38
103 Manhattan,105 Manhattan,25
103 Manhattan,106 Manhattan,32
103 Manhattan,107 Manhattan,31
103 Manhattan,108 Manhattan,28
103 Manhattan,109 Manhattan,27
103 Manhattan,110 Manhattan,34
103 Manhattan,111 Manhattan,33
103 Manhattan,112 Manhattan,46
103 Manhattan,164 Manhattan,31
104 Manhattan,101 Manhattan,29
104 Manhattan,102 Manhattan,22
104 Manhattan,103 Manhattan,26
104 Manhattan,105 Manhattan,41
104 Manhattan,106 Manhattan,23
104 Manhattan,107 Manhattan,26
104 Manhattan,108 Manhattan,37
104 Manhattan,109 Manhattan,30
104 Manhattan,110 Manhattan,33
104 Manhattan,111 Manhattan,30
104 Manhattan,112 Manhattan,26
104 Manhattan,164 Manhattan,19
105 Manhattan,101 Manhattan,31
105 Manhattan,102 Manhattan,19
105 Manhattan,103 Manhattan,36
105 Manhattan,104 Manhattan,23
105 Manhattan,106 Manhattan,31
105 Manhattan,107 Manhattan,36
105 Manhattan,108 Manhattan,28
105 Manhattan,109 Manhattan,36
105 Manhattan,110 Manhattan,27
105 Manhattan,111 Manhattan,21
105 Manhattan,112 Manhattan,31
105 Manhattan,164 Manhattan,33
106 Manhattan,101 Manhattan,23
106 Manhattan,102 Manhattan,25
106 Manhattan,103 Manhattan,29
106 Manhattan,104 Manhattan,21
106 Manhattan,105 Manhattan,26
106 Manhattan,107 Manhattan,35
106 Manhattan,108 Manhattan,28
106 Manhattan,109 Manhattan,29
106 Manhattan,110 Manhattan,31
106 Manhattan,111 Manhattan,28
106 Manhattan,112 Manhattan,29
106 Manhattan,164 Manhattan,30
107 Manhattan,101 Manhattan,36
107 Manhattan,102 Manhattan,29
107 Manhattan,103 Manhattan,43
107 Manhattan,104 Manhattan,25
107 Manhattan,105 Manhattan,30
107 Manhattan,106 Manhattan,42
107 Manhattan,108 Manhattan,30
107 Manhattan,109 Manhattan,30
107 Manhattan,110 Manhattan,38
107 Manhattan,111 Manhattan,47
107 Manhattan,112 Manhattan,28
107 Manhattan,164 Manhattan,33
108 Manhattan,101 Manhattan,36
108 Manhattan,102 Manhattan,34
108 Manhattan,103 Manhattan,30
108 Manhattan,104 Manhattan,37
108 Manhattan,105 Manhattan,26
108 Manhattan,106 Manhattan,28
108 Manhattan,107 Manhattan,32
108 Manhattan,109 Manhattan,38
108 Manhattan,110 Manhattan,36
108 Manhattan,111 Manhattan,29
108 Manhattan,112 Manhattan,26
108 Manhattan,164 Manhattan,37
109 Manhattan,101 Manhattan,40
109 Manhattan,102 Manhattan,40
109 Manhattan,103 Manhattan,38
109 Manhattan,104 Manhattan,34
109 Manhattan,105 Manhattan,35
109 Manhattan,106 Manhattan,31
109 Manhattan,107 Manhattan,42
109 Manhattan,108 Manhattan,41
109 Manhattan,110 Manhattan,47
109 Manhattan,111 Manhattan,30
109 Manhattan,112 Manhattan,29
109 Manhattan,164 Manhattan,35
110 Manhattan,101 Manhattan,26
110 Manhattan,102 Manhattan,43
110 Manhattan,103 Manhattan,33
110 Manhattan,104 Manhattan,30
110 Manhattan,105 Manhattan,41
110 Manhattan,106 Manhattan,35
110 Manhattan,107 Manhattan,26
110 Manhattan,108 Manhattan,38
110 Manhattan,109 Manhattan,28
110 Manhattan,111 Manhattan,40
110 Manhattan,112 Manhattan,38
110 Manhattan,164 Manhattan,41
111 Manhattan,101 Manhattan,32
111 Manhattan,102 Manhattan,25
111 Manhattan,103 Manhattan,43
111 Manhattan,104 Manhattan,28
111 Manhattan,105 Manhattan,35
111 Manhattan,106 Manhattan,38
111 Manhattan,107 Manhattan,31
111 Manhattan,108 Manhattan,50
111 Manhattan,109 Manhattan,40
111 Manhattan,110 Manhattan,58
111 Manhattan,112 Manhattan,34
111 Manhattan,164 Manhattan,31
112 Manhattan,101 Manhattan,40
112 Manhattan,102 Manhattan,48
112 Manhattan,103 Manhattan,37
112 Manhattan,104 Manhattan,42
112 Manhattan,105 Manhattan,43
112 Manhattan,106 Manhattan,35
112 Manhattan,107 Manhattan,51
112 Manhattan,108 Manhattan,31
112 Manhattan,109 Manhattan,36
112 Manhattan,110 Manhattan,26
112 Manhattan,111 Manhattan,36
112 Manhattan,164 Manhattan,39
164 Manhattan,101 Manhattan,29
164 Manhattan,102 Manhattan,36
164 Manhattan,103 Manhattan,57
164 Manhattan,104 Manhattan,59
164 Manhattan,105 Manhattan,38
164 Manhattan,106 Manhattan,44
164 Manhattan,107 Manhattan,29
164 Manhattan,108 Manhattan,35
164 Manhattan,109 Manhattan,42
164 Manhattan,110 Manhattan,37
164 Manhattan,111 Manhattan,38
164 Manhattan,112 Manhattan,44
